Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,wiki_description
390,Auckland Harbour Bridge Protests,-,-,1975,New Zealand,Civil Rights,Auckland,Highlighted land rights issues and led to significant Māori activism against government policies on land and sovereignty.,"Māori, activists",Māori Activists,Positive,
391,MMP Electoral System Introduced,-,-,1993,New Zealand,Electoral Reform,New Zealand,"Changed the electoral system to Mixed Member Proportional, aiming for fairer representation in Parliament.",New Zealand voters,New Zealand Government,Positive,
392,New Zealand Signs Kyoto Protocol,-,-,1998,New Zealand,International Agreement,"Kyoto, Japan","Committed New Zealand to reducing greenhouse gas emissions, aligning with global efforts to combat climate change.",New Zealanders,New Zealand Government,Positive,
393,1987 New Zealand Constitution Act,-,-,1987,New Zealand,Constitutional Reform,New Zealand,"Established the legal sovereignty of the New Zealand Parliament, removing the ability of the UK Parliament to legislate for New Zealand.",New Zealanders,New Zealand Government,Positive,
394,New Zealand Bill of Rights Act,-,-,1990,New Zealand,Legal Framework,New Zealand,"Affirmed rights and freedoms in New Zealand law, providing comprehensive protection of human rights.",New Zealanders,New Zealand Government,Positive,The New Zealand Bill of Rights Act 1990 is a statute of the Parliament of New Zealand and part of New Zealand's uncodified constitution that sets out the rights and fundamental freedoms of anyone subject to New Zealand law as a bill of rights. It imposes a legal requirement on the attorney-general to provide a report to parliament whenever a bill is inconsistent with the Bill of Rights.
395,Formation of the Māori Party,-,-,2004,New Zealand,Political Development,New Zealand,"Established to represent Māori interests in Parliament, emphasizing indigenous rights and perspectives.","Māori, political observers",Māori Leaders,Positive,
396,Recognition of the Māori Language,-,-,1987,New Zealand,Cultural/Legal,New Zealand,"Made Te Reo Māori an official language of New Zealand, recognizing the cultural heritage and rights of Māori.","Māori, New Zealanders",New Zealand Government,Positive,
397,Decriminalization of Homosexuality,-,-,1986,New Zealand,Social Policy,New Zealand,"Decriminalized homosexual acts between consenting adults, marking progress in LGBTQ+ rights.","LGBTQ+ Community, New Zealanders",New Zealand Government,Positive,
398,Establishment of Goryeo Dynasty,-,-,918,Korea,Dynastic Founding,Korean Peninsula,"Unified the Later Three Kingdoms, laying the groundwork for a unified Korean identity and culture.",Korean people,King Taejo,Positive,
399,Mongol Invasions of Korea,-,-,1231,Korea,Military Invasion,Korean Peninsula,"Led to Goryeo becoming a semi-autonomous vassal state of the Mongol Empire, impacting Korean sovereignty.",Korean people,Mongol Empire,Negative,"A series of campaigns were conducted between 1231 and 1270 by the Mongol Empire against the Korean kingdom of Goryeo. The last campaign concluded with a peace treaty with Goryeo becoming a vassal state of the Yuan dynasty, a relationship that lasted for approximately 80 years. A greater amount of ""stubborn resistance"" was put up by Korea and the Song Dynasty of China towards the Mongol invasions than many others in Eurasia who were swiftly crushed by the Mongols at a lightning pace."
400,Establishment of Joseon Dynasty,-,-,1392,Korea,Dynastic Founding,Korean Peninsula,"Marked the beginning of a dynasty that would last for five centuries, emphasizing Confucianism and centralizing royal power.",Korean people,King Taejo of Joseon,Positive,
401,Japanese Invasions of Korea (Imjin War),-,-,1592,Korea,Military Conflict,Korean Peninsula,"A devastating conflict that led to significant loss of life and cultural treasures, but also showcased Korean resilience.",Korean people,"Toyotomi Hideyoshi, Admiral Yi Sun-sin",Mixed,
402,Manchu Invasions of Korea,-,-,1627,Korea,Military Invasion,Korean Peninsula,"Forced Korea into becoming a tributary state of the Qing Dynasty, impacting Korean foreign relations.",Korean people,Qing Dynasty,Negative,
403,The Gabo Reform,-,-,1894,Korea,Political/Social Reform,Korean Peninsula,"A series of reforms aimed at modernizing Korea's government and social structures, influenced by foreign powers.",Korean people,King Gojong,Mixed,
404,Assassination of Empress Myeongseong,8,October,1895,Korea,Political Assassination,Gyeongbokgung Palace,The Japanese-orchestrated assassination heightened Korean resentment towards Japan and destabilized the court.,"Korean royal family, citizens",Japanese agents,Negative,"Around 6 a.m. on 8 October 1895, Queen Min, the consort of the Korean monarch Gojong, was assassinated by a group of Japanese agents under Miura Gorō. After her death, she was posthumously given the title of ""Empress Myeongseong""."
405,Korean Empire Proclaimed,12,October,1897,Korea,Political Change,Korean Peninsula,"King Gojong declared the Korean Empire, asserting independence amidst increasing foreign intervention.",Korean people,Emperor Gojong,Positive,
406,Russo-Japanese War,-,-,1904,Korea,International Conflict,"Korean Peninsula, Manchuria","Impacted Korea's sovereignty as Japan and Russia vied for dominance in the region, leading to Korea becoming a protectorate of Japan.",Korean people,"Japan, Russia",Negative,"The Russo-Japanese War was fought between the Russian Empire and the Empire of Japan over rival imperial ambitions in Manchuria and the Korean Empire. The major land battles of the war were fought on the Liaodong Peninsula and near Mukden in Southern Manchuria, with naval battles taking place in the Yellow Sea and the Sea of Japan."
407,Japan-Korea Annexation Treaty,22,August,1910,Korea,Annexation,Korean Peninsula,"Officially annexed Korea to Japan, ending the Korean Empire and beginning a period of Japanese colonial rule.",Korean people,Imperial Japan,Negative,"The Japan–Korea Treaty of 1910, also known as the Japan–Korea Annexation Treaty, was made by representatives of the Empire of Japan and the Korean Empire on 22 August 1910. In this treaty, Japan formally annexed Korea following the Japan–Korea Treaty of 1905 and the Japan–Korea Treaty of 1907."
408,March 1st Movement,1,March,1919,Korea,Independence Movement,Korean Peninsula,"A nationwide peaceful protest against Japanese colonial rule, pivotal in the Korean independence movement.",Korean people,Korean activists,Mixed,"The March First Movement was a series of protests against Japanese colonial rule that was held throughout Korea and internationally by the Korean diaspora beginning on March 1, 1919. Protests were largely concentrated in March and April of that year, although related protests continued until 1921. In South Korea, the movement is remembered as a landmark event of not only the Korean independence movement, but of all of Korean history."
409,Establishment of the Provisional Government,11,April,1919,Korea,Exile Government Formation,"Shanghai, China","Formed by Korean exiles, it acted as the de facto Korean government-in-exile opposing Japanese rule.",Korean people,Korean independence activists,Positive,
410,Korean Liberation,15,August,1945,Korea,End of Colonial Rule,Korean Peninsula,Marked the end of Japanese colonial rule in Korea following Japan's surrender in WWII.,Korean people,Allied Powers,Positive,
411,Division of Korea,-,-,1945,Korea,Geopolitical Division,38th Parallel North,"Korea was divided into North and South along the 38th parallel, laying the groundwork for future conflict.",Korean people,"United States, Soviet Union",Negative,"The division of Korea de facto began on 2 September 1945, when Japan signed the surrender document, thus ending the Pacific Theater of World War II. It was officially divided with the establishment of the two Koreas in 1948. During World War II, the Allied leaders had already been considering the question of Korea's future following Japan's eventual surrender in the war."
412,Establishment of the Republic of Korea,15,August,1948,South Korea,State Establishment,Seoul,Official establishment of South Korea as an independent nation following the division.,South Koreans,Syngman Rhee,Positive,
413,Establishment of the Democratic People's Republic of Korea,9,September,1948,North Korea,State Establishment,Pyongyang,"Official establishment of North Korea as a separate state, consolidating the division of Korea.",North Koreans,Kim Il-sung,Negative,
414,Jeju Uprising,-,-,1948,South Korea,Social Unrest,Jeju Island,"A violent suppression of a rebellion, leading to significant loss of life and highlighting post-liberation tensions.",Jeju Island residents,South Korean Government,Negative,"The Jeju uprising, known in South Korea as the Jeju April 3 incident, was an uprising on Jeju Island from April 1948 to May 1949. A year prior to its start, residents of Jeju had begun protesting elections scheduled by the United Nations Temporary Commission on Korea (UNTCOK) to be held in the United States-occupied half of Korea, which they believed would entrench the division of the country. A general strike was later organized by the Workers' Party of South Korea (WPSK) from February to March 1948."
